"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Santa Maria-Santa Barbara, CA","42200",2023,365,232,133,0,0,0,0,95,59,45,0,0,170,186,9
"Santa Rosa, CA","42220",2023,365,323,40,2,0,0,0,117,51,33,1,0,237,126,1
"Savannah, GA","42340",2023,352,197,153,2,0,0,0,108,63,48,0,0,52,300,0
"Sayre, PA","42380",2023,289,237,51,1,0,0,0,108,57,40,0,0,196,93,0
"Scottsbluff, NE","42420",2023,343,298,44,0,0,1,0,225,52,21,0,0,0,343,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2023,365,230,127,3,4,1,0,292,65,44,0,7,140,218,0
"Seattle-Tacoma-Bellevue, WA","42660",2023,365,186,172,4,3,0,0,195,71,50,0,3,120,242,0
"Sebastian-Vero Beach, FL","42680",2023,358,350,8,0,0,0,0,74,44,34,0,0,358,0,0
"Sebring, FL","42700",2023,361,346,14,1,0,0,0,108,45,35,0,0,361,0,0
"Sevierville, TN","42940",2023,268,205,60,3,0,0,0,115,64,45,0,0,268,0,0
"Sheboygan, WI","43100",2023,203,132,53,16,1,1,0,207,100,45,0,0,203,0,0
"Shelton, WA","43220",2023,363,313,49,1,0,0,0,106,53,24,0,0,0,363,0
"Sheridan, WY","43260",2023,365,283,79,2,1,0,0,175,59,43,0,0,247,112,6
"Show Low, AZ","43320",2023,364,290,74,0,0,0,0,84,64,43,0,0,357,2,5
"Shreveport-Bossier City, LA","43340",2023,361,137,223,1,0,0,0,114,71,53,0,0,72,287,2
"Sierra Vista-Douglas, AZ","43420",2023,365,272,90,3,0,0,0,108,64,44,0,0,317,1,47
"Sioux City, IA-NE-SD","43580",2023,118,71,45,0,2,0,0,169,64,43,0,0,0,118,0
"Sioux Falls, SD","43620",2023,365,235,103,23,4,0,0,181,93,44,0,6,254,96,9
"Somerset, KY","43700",2023,363,232,129,2,0,0,0,120,61,45,0,0,95,268,0
"Somerset, PA","43740",2023,365,333,32,0,0,0,0,93,49,35,0,0,365,0,0
"Sonora, CA","43760",2023,290,237,51,2,0,0,0,112,61,43,0,0,290,0,0
"South Bend-Mishawaka, IN-MI","43780",2023,365,172,180,10,2,1,0,223,74,52,0,0,136,229,0
"Spartanburg, SC","43900",2023,365,166,194,5,0,0,0,136,71,51,0,0,100,265,0
"Spokane-Spokane Valley, WA","44060",2023,365,172,185,4,2,1,1,447,73,52,0,0,111,238,16
"Springfield, IL","44100",2023,365,182,163,17,2,1,0,247,74,51,0,0,112,253,0
"Springfield, MA","44140",2023,365,214,145,4,2,0,0,153,62,46,0,0,148,217,0
"Springfield, MO","44180",2023,365,188,171,6,0,0,0,122,68,49,0,0,111,254,0
"Springfield, OH","44220",2023,365,187,170,5,3,0,0,196,71,50,0,0,103,262,0
"St. Cloud, MN","41060",2023,365,199,152,11,3,0,0,184,83,48,0,0,112,253,0
